股票代碼,日期,收盤價
1101,2021/1/4,43.2
1101,2021/1/5,43.1
1101,2021/1/6,42.95
1101,2021/1/7,42.85
1101,2021/1/8,42.95
1101,2021/1/11,43.1
1101,2021/1/12,42.7
1101,2021/1/13,42.7
1101,2021/1/14,42.550000000000004
1101,2021/1/15,41.95
1101,2021/1/18,41.6
1101,2021/1/19,41.75
1101,2021/1/20,40.95
1101,2021/1/21,40.800000000000004
1101,2021/1/22,40.6
1101,2021/1/25,40.9
1101,2021/1/26,40.35
1101,2021/1/27,40.35
1101,2021/1/28,40.25
1101,2021/1/29,40.15
1101,2021/2/1,40.800000000000004
1101,2021/2/2,40.75
1101,2021/2/3,40.550000000000004
1101,2021/2/4,40.4
1101,2021/2/5,40.85
1101,2021/2/17,41.25
1101,2021/2/18,41.35
1101,2021/2/19,41.6
1101,2021/2/22,41.800000000000004
1101,2021/2/23,42.45
1101,2021/2/24,42.550000000000004
1101,2021/2/25,42.9
1101,2021/2/26,42
1101,2021/3/2,42.1
1101,2021/3/3,42.550000000000004
1101,2021/3/4,42.5
1101,2021/3/5,42.5
1101,2021/3/8,42.65
1101,2021/3/9,43.4
1101,2021/3/10,43
1101,2021/3/11,42.85
1101,2021/3/12,42.7
1101,2021/3/15,42.35
1101,2021/3/16,42.6
1101,2021/3/17,42.85
1101,2021/3/18,43.1
1101,2021/3/19,42.7
1101,2021/3/22,45.800000000000004
1101,2021/3/23,45.7
1101,2021/3/24,45.550000000000004
1101,2021/3/25,45.550000000000004
1101,2021/3/26,46.150000000000006
1101,2021/3/29,46.5
1101,2021/3/30,46.550000000000004
1101,2021/3/31,46.800000000000004
1101,2021/4/1,46.7
1101,2021/4/6,46.85
1101,2021/4/7,46.800000000000004
1101,2021/4/8,46.900000000000006
1101,2021/4/9,46.7
1101,2021/4/12,46.85
1101,2021/4/13,47.2
1101,2021/4/14,47
1101,2021/4/15,47.900000000000006
1101,2021/4/16,49
1101,2021/4/19,50.400000000000006
1101,2021/4/20,52
1101,2021/4/21,55.7
1101,2021/4/22,54.1
1101,2021/4/23,53
1101,2021/4/26,53.1
1101,2021/4/27,52.7
1101,2021/4/28,53.2
1101,2021/4/29,52.1
1101,2021/5/3,51.2
1101,2021/5/4,50.2
1101,2021/5/5,50.800000000000004
1101,2021/5/6,53
1101,2021/5/7,52.300000000000004
1101,2021/5/10,52.900000000000006
1101,2021/5/11,51.6
1101,2021/5/12,49.6
1101,2021/5/13,49.2
1101,2021/5/14,49.6
1101,2021/5/17,47.900000000000006
1101,2021/5/18,50
1101,2021/5/19,50.5
1101,2021/5/20,50.800000000000004
1101,2021/5/21,51.2
1101,2021/5/24,51.300000000000004
1101,2021/5/25,51.1
1101,2021/5/26,50.7
